Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
MARLES Richard,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MARLES_Richard.pdf5MARLES Richard
MARSHALL Gavin,20-Feb-11,22-Feb-11,Canberra,Legal and Constitutional  (Sen/Stand),3,233.00,,699.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MARSHALL_Gavin.pdf5MARSHALL Gavin
MATHESON Russell,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,50http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MATHESON_Russell.pdf5MATHESON Russell
MCCLELLAND Robert,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,91http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCCLELLAND_Robert.pdf5MCCLELLAND Robert
MCCORMACK Michael,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,122http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCCORMACK_Michael.pdf5MCCORMACK Michael
MCEWEN Anne,20-Feb-11,24-Feb-11,Canberra,Chief Whip - Official  Business,5,233.00,,"1,165.00",36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCEWEN_Anne.pdf5MCEWEN Anne
MCLUCAS Jan,20-Feb-11,22-Feb-11,Canberra,Parliamentary Secretary -  Official Business,3,233.00,,699.00,49http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCLUCAS_Jan.pdf5MCLUCAS Jan
MILNE Christine,20-Feb-11,21-Feb-11,Canberra,Environment and  Communications  (Sen/Stand),2,233.00,,466.00,59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MILNE_Christine.pdf5MILNE Christine
MIRABELLA Sophie,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,44http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MIRABELLA_Sophie.pdf5MIRABELLA Sophie
MITCHELL Robert,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,67http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MITCHELL_Robert.pdf5MITCHELL Robert
MOORE Claire,20-Feb-11,22-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),3,233.00,,699.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MOORE_Claire.pdf5MOORE Claire
MORRISON Scott,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MORRISON_Scott.pdf5MORRISON Scott
MOYLAN Judi,20-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,12,233.00,,"2,796.00",34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MOYLAN_Judi.pdf5MOYLAN Judi
MURPHY John,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MURPHY_John.pdf5MURPHY John
NEUMANN Shayne,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/NEUMANN_Shayne.pdf5NEUMANN Shayne
O'BRIEN Kerry,20-Feb-11,22-Feb-11,Canberra,Rural and Regional  Affairs and Transport  (Sen/Stand),3,233.00,,699.00,59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/O'BRIEN_Kerry.pdf5O'BRIEN Kerry
O'CONNOR Brendan,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",75http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/O'CONNOR_Brendan.pdf5O'CONNOR Brendan
O'DWYER Kelly,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/O'DWYER_Kelly.pdf5O'DWYER Kelly
PARKE Melissa,20-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,12,233.00,,"2,796.00",48http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PARKE_Melissa.pdf5PARKE Melissa
PARRY Stephen,20-Feb-11,24-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),5,233.00,,"1,165.00",55http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PARRY_Stephen.pdf5PARRY Stephen
PERRETT Graham,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PERRETT_Graham.pdf5PERRETT Graham
POLLEY Helen,20-Feb-11,22-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),3,233.00,,699.00,47http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/POLLEY_Helen.pdf5POLLEY Helen
PRATT Louise,20-Feb-11,22-Feb-11,Canberra,Legal and Constitutional  (Sen/Stand),3,233.00,,699.00,50http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PRATT_Louise.pdf5PRATT Louise
PRENTICE Jane,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PRENTICE_Jane.pdf5PRENTICE Jane
PYNE Christopher,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",75http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PYNE_Christopher.pdf5PYNE Christopher
RIPOLL Bernie,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RIPOLL_Bernie.pdf5RIPOLL Bernie
RISHWORTH Amanda,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RISHWORTH_Amanda.pdf5RISHWORTH Amanda
ROBB Andrew,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ROBB_Andrew.pdf5ROBB Andrew
ROBERT Stuart,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ROBERT_Stuart.pdf5ROBERT Stuart
RONALDSON Michael,20-Feb-11,22-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),3,233.00,,699.00,53http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RONALDSON_Michael.pdf5RONALDSON Michael
ROWLAND Michelle,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ROWLAND_Michelle.pdf5ROWLAND Michelle
ROXON Nicola,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ROXON_Nicola.pdf5ROXON Nicola
RUDDOCK Philip,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RUDDOCK_Philip.pdf5RUDDOCK Philip
RYAN Scott,20-Feb-11,21-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),2,233.00,,466.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RYAN_Scott.pdf5RYAN Scott
SAFFIN Janelle,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",56http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SAFFIN_Janelle.pdf5SAFFIN Janelle
SCOTT Bruce,20-Feb-11,4-Mar-11,Canberra,Sittings of Parliament,13,233.00,,"3,029.00",55http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCOTT_Bruce.pdf5SCOTT Bruce
SCULLION Nigel,20-Feb-11,21-Feb-11,Canberra,Environment and  Communications  (Sen/Stand),2,233.00,,466.00,116http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf5SCULLION Nigel
SECKER Patrick,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SECKER_Patrick.pdf5SECKER Patrick
SHERRY Nick,20-Feb-11,23-Feb-11,Canberra,Minister/Office Holder -  Official Business,4,233.00,,932.00,84http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SHERRY_Nick.pdf5SHERRY Nick
SIDEBOTTOM Sid,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",89http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SIDEBOTTOM_Sid.pdf5SIDEBOTTOM Sid
SIEWERT Rachel,20-Feb-11,22-Feb-11,Canberra,Environment and  Communications  (Sen/Stand),3,233.00,,699.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SIEWERT_Rachel.pdf5SIEWERT Rachel
SIMPKINS Luke,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SIMPKINS_Luke.pdf5SIMPKINS Luke
SLIPPER Peter,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",54http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SLIPPER_Peter.pdf5SLIPPER Peter
SMITH Stephen,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,68http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SMITH_Stephen.pdf5SMITH Stephen
SMITH Tony,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SMITH_Tony.pdf5SMITH Tony
SOMLYAY Alexander,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SOMLYAY_Alexander.pdf5SOMLYAY Alexander
SOUTHCOTT Andrew,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SOUTHCOTT_Andrew.pdf5SOUTHCOTT Andrew
STEPHENS Ursula,20-Feb-11,21-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),2,233.00,,466.00,36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/STEPHENS_Ursula.pdf5STEPHENS Ursula
STERLE Glenn,20-Feb-11,24-Feb-11,Canberra,Rural Affairs and  Transport (Sen/Stand),5,233.00,,"1,165.00",21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/STERLE_Glenn.pdf5STERLE Glenn
STONE Sharman,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",67http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/STONE_Sharman.pdf5STONE Sharman
TEHAN Dan,20-Feb-11,20-Feb-11,Melbourne,Sittings of Parliament,1,111,,111,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/TEHAN_Dan.pdf20TEHAN Dan
THOMSON Craig,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/THOMSON_Craig.pdf5THOMSON Craig
THOMSON Kelvin,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/THOMSON_Kelvin.pdf5THOMSON Kelvin
TROETH Judith,20-Feb-11,22-Feb-11,Canberra,Environment and  Communications  (Sen/Stand),3,233.00,,699.00,36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/TROETH_Judith.pdf5TROETH Judith
TROOD Russell,20-Feb-11,22-Feb-11,Canberra,Legal and Constitutional  (Sen/Stand),3,233.00,,699.00,43http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/TROOD_Russell.pdf5TROOD Russell
TRUSS Warren,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/TRUSS_Warren.pdf5TRUSS Warren
VAN%20MANEN Bert,20-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/VAN%20MANEN_Bert.pdf5VAN%20MANEN Bert
WILKIE Andrew,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",79http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WILKIE_Andrew.pdf5WILKIE Andrew
WILLIAMS John,20-Feb-11,22-Feb-11,Canberra,Rural and Regional  Affairs and Transport  (Sen/Stand),3,233.00,,699.00,58http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WILLIAMS_John.pdf5WILLIAMS John
WONG Penny,20-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",83http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WONG_Penny.pdf5WONG Penny
XENOPHON Nick,20-Feb-11,22-Feb-11,Canberra,Environment and  Communications  (Sen/Stand),3,233.00,,699.00,98http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/XENOPHON_Nick.pdf5XENOPHON Nick
ABETZ Eric,21-Feb-11,21-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),1,233.00,,233.00,54http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ABETZ_Eric.pdf5ABETZ Eric
ADAMS Judith,21-Feb-11,22-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),2,233.00,,466.00,43http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ADAMS_Judith.pdf5ADAMS Judith
ALBANESE Anthony,21-Feb-11,21-Feb-11,Melbourne,Minister/Office Holder -  Official Business,1,420.00,,420.00,99http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALBANESE_Anthony.pdf5ALBANESE Anthony
BILYK Catryna,21-Feb-11,22-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),2,233.00,,466.00,86http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BILYK_Catryna.pdf5BILYK Catryna
BIRMINGHAM Simon,21-Feb-11,22-Feb-11,Canberra,Environment and  Communications  (Sen/Stand),2,233.00,,466.00,38http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BIRMINGHAM_Simon.pdf5BIRMINGHAM Simon
BOWEN Chris,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BOWEN_Chris.pdf5BOWEN Chris
BRADBURY David,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,41http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BRADBURY_David.pdf5BRADBURY David
BRODTMANN Gai,21-Feb-11,24-Feb-11,Parl House,Sittings of Parliament,4,77.00,,308.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BRODTMANN_Gai.pdf5BRODTMANN Gai
BROWN Bob,21-Feb-11,23-Feb-11,Canberra,Rural Affairs and  Transport (Sen/Stand),3,233.00,,699.00,52http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BROWN_Bob.pdf5BROWN Bob
BUSHBY David,21-Feb-11,24-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),4,233.00,,932.00,47http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUSHBY_David.pdf5BUSHBY David
BYRNE Anthony,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BYRNE_Anthony.pdf5BYRNE Anthony
CHESTER Darren,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CHESTER_Darren.pdf5CHESTER Darren
COONAN Helen,21-Feb-11,23-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),3,233.00,,699.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/COONAN_Helen.pdf5COONAN Helen
CREAN Simon,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,131http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CREAN_Simon.pdf5CREAN Simon
DANBY Michael,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/DANBY_Michael.pdf5DANBY Michael
DREYFUS Mark,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,67http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/DREYFUS_Mark.pdf5DREYFUS Mark
FERGUSON Alan,21-Feb-11,21-Feb-11,Sydney,Office Holder - Official  Business,1,420.00,10.00,430.00,30http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FERGUSON_Alan.pdf5FERGUSON Alan
FIELDING Steve,21-Feb-11,22-Feb-11,Canberra,Legal and Constitutional  (Sen/Stand),2,233.00,,466.00,53http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FIELDING_Steve.pdf5FIELDING Steve
FLETCHER Paul,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FLETCHER_Paul.pdf5FLETCHER Paul
FRYDENBERG Josh,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,43http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FRYDENBERG_Josh.pdf5FRYDENBERG Josh
HUMPHRIES Gary,21-Feb-11,22-Feb-11,Parl House,Environment and  Communications  (Sen/Stand),2,77.00,,154.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf5HUMPHRIES Gary
JONES Stephen,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,66http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/JONES_Stephen.pdf5JONES Stephen
KATTER Bob,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,76http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KATTER_Bob.pdf5KATTER Bob
LAMING Andrew,21-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,10,233.00,,"2,330.00",42http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LAMING_Andrew.pdf5LAMING Andrew
LUNDY Kate,21-Feb-11,21-Feb-11,Parl House,Parliamentary Secretary -  Official Business,1,77.00,,77.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LUNDY_Kate.pdf5LUNDY Kate
MINCHIN Nick,21-Feb-11,22-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),2,233.00,,466.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MINCHIN_Nick.pdf5MINCHIN Nick
OAKESHOTT Robert,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,43http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/OAKESHOTT_Robert.pdf5OAKESHOTT Robert
PLIBERSEK Tanya,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PLIBERSEK_Tanya.pdf5PLIBERSEK Tanya
SHORTEN Bill,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,43http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SHORTEN_Bill.pdf5SHORTEN Bill
SNOWDON Warren,21-Feb-11,24-Feb-11,Canberra,Sittings of Parliament,4,233.00,,932.00,113http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf5SNOWDON Warren
SWAN Wayne,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SWAN_Wayne.pdf5SWAN Wayne
TURNBULL Malcolm,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,41http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/TURNBULL_Malcolm.pdf5TURNBULL Malcolm
VAMVAKINOU Maria,21-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,3,233.00,,699.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/VAMVAKINOU_Maria.pdf5VAMVAKINOU Maria
WORTLEY Dana,21-Feb-11,22-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),2,233.00,,466.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WORTLEY_Dana.pdf5WORTLEY Dana
ABETZ Eric,22-Feb-11,24-Feb-11,Canberra,Community Affairs  (Sen/Stand),3,233.00,30.00,729.00,63http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ABETZ_Eric.pdf5ABETZ Eric
ALBANESE Anthony,22-Feb-11,23-Feb-11,Canberra,Sittings of Parliament,2,233.00,,466.00,106http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALBANESE_Anthony.pdf5ALBANESE Anthony
BARNETT Guy,22-Feb-11,23-Feb-11,Canberra,"Education, Employment  and Workplace Relations  (Sen/Stand)",2,233.00,,466.00,65http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BARNETT_Guy.pdf5BARNETT Guy
BOYCE Sue,22-Feb-11,22-Feb-11,Canberra,Community Affairs  (Sen/Stand),1,233.00,,233.00,51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BOYCE_Sue.pdf5BOYCE Sue
BROWN Carol,22-Feb-11,24-Feb-11,Canberra,Community Affairs  (Sen/Stand),3,233.00,,699.00,28http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BROWN_Carol.pdf5BROWN Carol
FIERRAVANTI-WELLS Concetta,22-Feb-11,24-Feb-11,Canberra,Community Affairs  (Sen/Stand),3,233.00,,699.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FIERRAVANTI-WELLS_Concetta.pdf5FIERRAVANTI-WELLS Concetta
FIFIELD Mitch,22-Feb-11,24-Feb-11,Canberra,Community Affairs  (Sen/Stand),3,233.00,,699.00,53http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FIFIELD_Mitch.pdf5FIFIELD Mitch
HURLEY Annette,22-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),3,233.00,,699.00,41http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HURLEY_Annette.pdf5HURLEY Annette
HUTCHINS Steve,22-Feb-11,23-Feb-11,Canberra,"Foreign Affairs, Defence  and Trade (Sen/Stand)",2,233.00,,466.00,79http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUTCHINS_Steve.pdf5HUTCHINS Steve
JOHNSTON David,22-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),3,233.00,,699.00,51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/JOHNSTON_David.pdf5JOHNSTON David
JOYCE Barnaby,22-Feb-11,22-Feb-11,Canberra,Finance and Public  Administration  (Sen/Stand),1,233.00,,233.00,93http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/JOYCE_Barnaby.pdf5JOYCE Barnaby
KROGER Helen,22-Feb-11,24-Feb-11,Canberra,"Foreign Affairs, Defence  and Trade (Sen/Stand )",3,233.00,,699.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KROGER_Helen.pdf5KROGER Helen
LUDWIG Joe,22-Feb-11,24-Feb-11,Canberra,Legal and  Constitutional Affairs,3,233.00,,699.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T29/LUDWIG_Joe.pdf19LUDWIG Joe
MILNE Christine,22-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),3,233.00,,699.00,66http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MILNE_Christine.pdf5MILNE Christine
RYAN Scott,22-Feb-11,23-Feb-11,Canberra,Economics (Sen/Stand),2,233.00,,466.00,36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RYAN_Scott.pdf5RYAN Scott
SCULLION Nigel,22-Feb-11,23-Feb-11,Canberra,Community Affairs  (Sen/Stand),2,233.00,,466.00,124http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf5SCULLION Nigel
STEPHENS Ursula,22-Feb-11,23-Feb-11,Canberra,Economics (Sen/Stand),2,233.00,,466.00,43http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/STEPHENS_Ursula.pdf5STEPHENS Ursula
ADAMS Judith,23-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),2,233.00,,466.00,50http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ADAMS_Judith.pdf5ADAMS Judith
BERNARDI Cory,23-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),2,233.00,,466.00,43http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BERNARDI_Cory.pdf5BERNARDI Cory
BILYK Catryna,23-Feb-11,24-Feb-11,Canberra,Community Affairs  (Sen/Stand),2,233.00,,466.00,94http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BILYK_Catryna.pdf5BILYK Catryna
BOYCE Sue,23-Feb-11,24-Feb-11,Canberra,Community Affairs  (Sen/Stand),2,233.00,,466.00,59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BOYCE_Sue.pdf5BOYCE Sue
BRANDIS George,23-Feb-11,23-Feb-11,Canberra,Community Affairs  (Sen/Stand),1,233.00,,233.00,68http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BRANDIS_George.pdf5BRANDIS George
CAMERON Doug,23-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),2,233.00,,466.00,53http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CAMERON_Doug.pdf5CAMERON Doug
CASH Michaelia,23-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),2,233.00,,466.00,90http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CASH_Michaelia.pdf5CASH Michaelia
COLBECK Richard,23-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),2,233.00,,466.00,58http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/COLBECK_Richard.pdf5COLBECK Richard
CORMANN Mathias,23-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),2,233.00,,466.00,52http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CORMANN_Mathias.pdf5CORMANN Mathias
FARRELL Don,23-Feb-11,23-Feb-11,Canberra,Parliamentary Secretary -  Official Business,1,233.00,,233.00,120http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FARRELL_Don.pdf5FARRELL Don
