Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
ELLIS Annette,11-May-10,13-May-10,Parl House,Sittings of Parliament ,3,74.00,,222.00,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ELLIS_Annette.pdf11ELLIS Annette
HUMPHRIES Gary,24-May-10,26-May-10,Parl House,Legal and  Constitutional  (Sen/Stand),3,74.00,,222.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
ELLIS Annette,26-May-10,27-May-10,Parl House,Sittings of Parliament ,2,74.00,,148.00,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ELLIS_Annette.pdf11ELLIS Annette
ELLIS Annette,31-May-10,3-Jun-10,Parl House,Sittings of Parliament ,4,74.00,,296.00,40http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ELLIS_Annette.pdf11ELLIS Annette
HUMPHRIES Gary,31-May-10,3-Jun-10,Parl House,Community Affairs  (Sen/Stand),4,74.00,,296.00,28http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
HUMPHRIES Gary,15-Jun-10,17-Jun-10,Parl House,Sittings of Parliament ,3,74.00,,222.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
LUNDY Kate,15-Jun-10,17-Jun-10,Parl House,Sittings of Parliament ,3,74.00,,222.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LUNDY_Kate.pdf20LUNDY Kate
ELLIS Annette,21-Jun-10,24-Jun-10,Parl House,Sittings of Parliament ,4,74.00,,296.00,47http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ELLIS_Annette.pdf11ELLIS Annette
HUMPHRIES Gary,21-Jun-10,24-Jun-10,Parl House,Sittings of Parliament ,4,74.00,,296.00,42http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
ABETZ Eric,7-Jul-10,7-Jul-10,Melbourne,Office Holder - Official ,0,415.00,,75.00,12http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ABETZ_Eric.pdf23ABETZ Eric
PLIBERSEK Tanya,20-Jul-10,21-Jul-10,Brisbane,Minister/Office Holder ,0,386.00,,92.00,12http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PLIBERSEK_Tanya.pdf16PLIBERSEK Tanya
BIRMINGHAM Simon,27-Jul-10,27-Jul-10,Melbourne,Shadow Minister - ,0,328.00,,104.00,12http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BIRMINGHAM_Simon.pdf17BIRMINGHAM Simon
CAMERON Doug,10-Aug-10,10-Aug-10,Armidale,Representing a Minister ,1,224.00,,224.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CAMERON_Doug.pdf15CAMERON Doug
MITCHELL Robert,20-Sep-10,21-Sep-10,Canberra,Sittings of Parliament,2,233.00,,466.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MITCHELL_Robert.pdf13MITCHELL Robert
LUDWIG Joe,27-Sep-10,30-Sep-10,Canberra,Sittings of Parliament,4,233.00,,932.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LUDWIG_Joe.pdf17LUDWIG Joe
LUNDY Kate,28-Sep-10,30-Sep-10,Parl House,Sittings of Parliament ,3,77.00,,231.00,25http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LUNDY_Kate.pdf20LUNDY Kate
CLARE Jason,5-Oct-10,6-Oct-10,Darwin,Electorate Business,0,420.00,,112**see original,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CLARE_Jason.pdf18CLARE Jason
CLARE Jason,12-Oct-10,12-Oct-10,Townsville,Electorate Business,0,345.00,,86**see original,28http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CLARE_Jason.pdf18CLARE Jason
HUMPHRIES Gary,18-Oct-10,18-Oct-10,Parl House,Legal and  Constitutional  (Sen/Stand),1,77.00,,77.00,51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
HUMPHRIES Gary,19-Oct-10,19-Oct-10,Parl House,"Foreign Affairs,  Defence and Trade  (Sen/Stand)",1,77.00,,77.00,60http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
HUMPHRIES Gary,20-Oct-10,20-Oct-10,Parl House,Community Affairs  (Sen/Stand),1,77.00,,77.00,68http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
HUMPHRIES Gary,21-Oct-10,21-Oct-10,Parl House,Education Employment  and Workplace  Relations (Sen/Stand),1,77.00,,77.00,77http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
WILKIE Andrew,23-Oct-10,23-Oct-10,Melbourne,Electorate Business,1,332.00,,332.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WILKIE_Andrew.pdf15WILKIE Andrew
SLIPPER Peter,24-Oct-10,28-Oct-10,Canberra,Sittings of Parliament,0,233.00,10.00,10.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SLIPPER_Peter.pdf22SLIPPER Peter
HUMPHRIES Gary,25-Oct-10,28-Oct-10,Parl House,Sittings of Parliament ,4,77.00,,308.00,84http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
KELLY Mike,31-Oct-10,31-Oct-10,Merimbula,Electorate Business,1,227.00,,227.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KELLY_Mike.pdf18KELLY Mike
RUDD Kevin,6-Nov-10,8-Nov-10,Melbourne,Minister/Office Holder ,3,420.00,,"1,260.00",19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RUDD_Kevin.pdf22RUDD Kevin
RUDD Kevin,12-Nov-10,12-Nov-10,Perth,Minister/Office Holder ,1,430.00,,430.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RUDD_Kevin.pdf22RUDD Kevin
ALEXANDER John,14-Nov-10,17-Nov-10,Canberra,Sittings of Parliament,4,233.00,,932.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALEXANDER_John.pdf12ALEXANDER John
MARLES Richard,14-Nov-10,17-Nov-10,Canberra,Sittings of Parliament,4,233.00,,932.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MARLES_Richard.pdf19MARLES Richard
