politician,url,datefrom,dateto,details,location,rate,nights,key,amount,spouse,note,lat,lon,electorate,state,party,partygroup,house,withinelectorate,
JOHNSTON David,http://www.finance.gov.au/sites/default/files/P35_JOHNSTON_David.pdf,26-Jul-12,26-Jul-12,Shadow Minister - Official Business,Sydney,$121.00,0,19http://www.finance.gov.au/sites/default/files/P35_JOHNSTON_David.pdf25P35 JOHNSTON David,"-$242.00 <i>**</i>
",,,-33.8674869,151.2069902,,WA,Liberal,Coalition,senate,,
GRIERSON Sharon,http://www.finance.gov.au/sites/default/files/P34_GRIERSON_Sharon.pdf,26-Nov-12,29-Nov-12,Sittings of Parliament,Canberra,$260.00,0,14http://www.finance.gov.au/sites/default/files/P34_GRIERSON_Sharon.pdf8P34 GRIERSON Sharon,28,,*,-35.2819998,149.1286843,Newcastle,NSW,Labor,Labor,lower,no,
BRIGGS Jamie,http://www.finance.gov.au/sites/default/files/P34_BRIGGS_Jamie.pdf,3-Jan-13,3-Jan-13,Shadow Parliamentary Secretary - Official ,Sydney,$372.00,0,12http://www.finance.gov.au/sites/default/files/P34_BRIGGS_Jamie.pdf24P34 BRIGGS Jamie,$18.00,,*,-33.8674869,151.2069902,Mayo,SA,Liberal,Coalition,lower,no,
BROWN Carol,http://www.finance.gov.au/sites/default/files/P34_BROWN_Carol.pdf,21-Feb-13,21-Feb-13,Community Affairs,Melbourne,$124.00,0,12http://www.finance.gov.au/sites/default/files/P34_BROWN_Carol.pdf18P34 BROWN Carol,-$247.00,,*,-37.814107,144.96328,,TAS,Labor,Labor,senate,,
JONES Ewen,http://www.finance.gov.au/sites/default/files/P34_JONES_Ewen.pdf,23-Feb-13,27-Feb-13,Sittings of Parliament,Canberra,$260.00,5,11http://www.finance.gov.au/sites/default/files/P34_JONES_Ewen.pdf23P34 JONES Ewen,"$1,300.00",,,-35.2819998,149.1286843,Herbert,QLD,Liberal,Coalition,lower,no,
MCCORMACK Michael,http://www.finance.gov.au/sites/default/files/P34_MCCORMACK_Michael.pdf,13-Jun-13,15-Jun-13,Parliamentary Political Party Meeting,Bathurst,$276.00,0,19http://www.finance.gov.au/sites/default/files/P34_MCCORMACK_Michael.pdf18P34 MCCORMACK Michael,$48.00,,*,-33.4176529,149.5810314,Riverina,NSW,National,Coalition,lower,no,
COBB John,http://www.finance.gov.au/sites/default/files/P34_COBB_John.pdf,20-Jun-13,20-Jun-13,Shadow Minister - Official Business,Sydney,$372.00,0,12http://www.finance.gov.au/sites/default/files/P34_COBB_John.pdf18P34 COBB John,121,,*,-33.8674869,151.2069902,Calare,NSW,National,Coalition,lower,no,
MACFARLANE Ian,http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf,23-Jun-13,27-Jun-13,Sittings of Parliament,Canberra,$260.00,5,18http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf24P34 MACFARLANE Ian,"$1,300.00",,,-35.2819998,149.1286843,Groom,QLD,Liberal,Coalition,lower,no,
HOCKEY Joe,http://www.finance.gov.au/sites/default/files/P34_HOCKEY_Joe.pdf,29-Jun-13,29-Jun-13,Shadow Minister - Official Business,Melbourne,$371.00,-1,12http://www.finance.gov.au/sites/default/files/P34_HOCKEY_Joe.pdf20P34 HOCKEY Joe,-371,,*,-37.814107,144.96328,North Sydney,NSW,Liberal,Coalition,lower,no,
MACFARLANE Ian,http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf,1-Jul-13,3-Jul-13,Shadow Minister - Official Business,Perth,$382.00,3,25http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf24P34 MACFARLANE Ian,"$1,146.00",,,-31.9535132,115.8570471,Groom,QLD,Liberal,Coalition,lower,no,
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf,18-Jul-13,20-Jul-13,Parliamentary Political Party Meeting,Brisbane,$400.00,0,19http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf26P34 SCOTT Bruce,$72.00,,*,-27.4710107,153.0234489,Maranoa,QLD,National,Coalition,lower,no,
XENOPHON Nick,http://www.finance.gov.au/sites/default/files/P34_XENOPHON_Nick.pdf,24-Jul-13,24-Jul-13,Electorate Business,Brisbane,$376.00,-1,12http://www.finance.gov.au/sites/default/files/P34_XENOPHON_Nick.pdf18P34 XENOPHON Nick,-376,,*,-27.4710107,153.0234489,,SA,Independent,Independent,senate,,
RUSTON Anne,http://www.finance.gov.au/sites/default/files/P34_RUSTON_Anne.pdf,12-Aug-13,13-Aug-13,Electorate Business,Adelaide,$251.00,2,19http://www.finance.gov.au/sites/default/files/P34_RUSTON_Anne.pdf19P34 RUSTON Anne,$502.00,,,-34.9286212,138.5999594,,SA,Liberal,Coalition,senate,,
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf,12-Aug-13,12-Aug-13,Deputy Speaker - Official Business,Brisbane,$400.00,0,26http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf26P34 SCOTT Bruce,$24.00,,*,-27.4710107,153.0234489,Maranoa,QLD,National,Coalition,lower,no,
RUSTON Anne,http://www.finance.gov.au/sites/default/files/P34_RUSTON_Anne.pdf,15-Aug-13,15-Aug-13,Electorate Business,Adelaide,$329.00,1,26http://www.finance.gov.au/sites/default/files/P34_RUSTON_Anne.pdf19P34 RUSTON Anne,$329.00,,,-34.9286212,138.5999594,,SA,Liberal,Coalition,senate,,
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf,24-Aug-13,24-Aug-13,Parliamentary Political Party Meeting,Brisbane,$400.00,0,33http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf26P34 SCOTT Bruce,$24.00,,*,-27.4710107,153.0234489,Maranoa,QLD,National,Coalition,lower,no,
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf,1-Sep-13,3-Sep-13,Electorate Business,Darwin,$451.00,0,19http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf22P34 SNOWDON Warren,$108.00,,*,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no,
CHESTER Darren,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf,2-Sep-13,2-Sep-13,Electorate Business,Traralgon,$253.00,0,19http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf22P34 CHESTER Darren,-$104.00,,**,-38.1971087,146.534618,Gippsland,VIC,National,Coalition,lower,yes,
CHESTER Darren,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf,2-Sep-13,2-Sep-13,Electorate Business,Traralgon,$253.00,0,26http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf22P34 CHESTER Darren,$104.00,,*,-38.1971087,146.534618,Gippsland,VIC,National,Coalition,lower,yes,
PARRY Stephen,http://www.finance.gov.au/sites/default/files/P34_PARRY_Stephen.pdf,2-Sep-13,2-Sep-13,Electorate Business,Burnie,$357.00,0,19http://www.finance.gov.au/sites/default/files/P34_PARRY_Stephen.pdf21P34 PARRY Stephen,$76.00,,*,-41.0524649,145.9068513,,TAS,Liberal,Coalition,senate,,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,6-Sep-13,6-Sep-13,Electorate Business,Broken Hill,$278.00,-1,26http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf27P34 LEY Sussan,-79,,*,-31.9558583,141.4651361,Farrer,NSW,Liberal,Coalition,lower,yes,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,6-Sep-13,6-Sep-13,Electorate Business,Broken Hill,$278.00,1,19http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf27P34 LEY Sussan,$79.00,,,-31.9558583,141.4651361,Farrer,NSW,Liberal,Coalition,lower,yes,
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf,6-Sep-13,6-Sep-13,Electorate Business,Kingaroy,$357.00,0,40http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf26P34 SCOTT Bruce,$77.00,,*,-26.5408702,151.8393195,Maranoa,QLD,National,Coalition,lower,yes,
CHESTER Darren,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf,7-Sep-13,7-Sep-13,Electorate Business,Sale,$253.00,0,33http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf22P34 CHESTER Darren,-$104.00,,**,-38.1077151,147.0640833,Gippsland,VIC,National,Coalition,lower,yes,
CHESTER Darren,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf,7-Sep-13,7-Sep-13,Electorate Business,Sale,$253.00,0,40http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf22P34 CHESTER Darren,$104.00,,*,-38.1077151,147.0640833,Gippsland,VIC,National,Coalition,lower,yes,
RUSTON Anne,http://www.finance.gov.au/sites/default/files/P34_RUSTON_Anne.pdf,9-Sep-13,13-Sep-13,Electorate Business,Adelaide,$354.00,0,33http://www.finance.gov.au/sites/default/files/P34_RUSTON_Anne.pdf19P34 RUSTON Anne,"$1,180.00",,,-34.9286212,138.5999594,,SA,Liberal,Coalition,senate,,
CARR Kim,http://www.finance.gov.au/sites/default/files/P34_CARR_Kim.pdf,12-Sep-13,13-Sep-13,Parliamentary Political Party Meeting,Canberra,$268.00,2,11http://www.finance.gov.au/sites/default/files/P34_CARR_Kim.pdf20P34 CARR Kim,$536.00,,,-35.2819998,149.1286843,,VIC,Labor,Labor,senate,,
COLEMAN David,http://www.finance.gov.au/sites/default/files/P34_COLEMAN_David.pdf,12-Sep-13,12-Sep-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,18http://www.finance.gov.au/sites/default/files/P34_COLEMAN_David.pdf14P34 COLEMAN David,$268.00,,,-35.2819998,149.1286843,Banks,NSW,Liberal,Coalition,lower,no,
HUNT Greg,http://www.finance.gov.au/sites/default/files/P34_HUNT_Greg.pdf,18-Sep-13,18-Sep-13,Minister - Official Business,Canberra,$268.00,0,20http://www.finance.gov.au/sites/default/files/P34_HUNT_Greg.pdf22P34 HUNT Greg,$10.00,$10.00,*,-35.2819998,149.1286843,Flinders,VIC,Liberal,Coalition,lower,no,
CHESTER Darren,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf,19-Sep-13,19-Sep-13,Electorate Business,Sale,$357.00,0,47http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf22P34 CHESTER Darren,$104.00,,,-38.1077151,147.0640833,Gippsland,VIC,National,Coalition,lower,yes,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,19-Sep-13,19-Sep-13,Electorate Business,Holbrook,$357.00,0,33http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf27P34 LEY Sussan,$104.00,,,-35.7268382,147.311636,Farrer,NSW,Liberal,Coalition,lower,yes,
GRAY Gary,http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf,21-Sep-13,21-Sep-13,Electorate Business,Kununurra,$348.00,0,12http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf21P34 GRAY Gary,$95.00,,*,-15.7735463,128.739196,Brand,WA,Labor,Labor,lower,no,
PRATT Louise,http://www.finance.gov.au/sites/default/files/P34_PRATT_Louise.pdf,23-Sep-13,25-Sep-13,Electorate Business,Kununurra,$116.00,0,19http://www.finance.gov.au/sites/default/files/P34_PRATT_Louise.pdf20P34 PRATT Louise,$93.00,,*,-15.7735463,128.739196,,WA,Labor,Labor,senate,,
WYATT Ken,http://www.finance.gov.au/sites/default/files/P34_WYATT_Ken.pdf,25-Sep-13,26-Sep-13,Electorate Business,Kununurra,$348.00,0,19http://www.finance.gov.au/sites/default/files/P34_WYATT_Ken.pdf20P34 WYATT Ken,$190.00,,*,-15.7735463,128.739196,Hasluck,WA,Liberal,Coalition,lower,no,
RUSTON Anne,http://www.finance.gov.au/sites/default/files/P34_RUSTON_Anne.pdf,27-Sep-13,27-Sep-13,Electorate Business,Kimba,$85.00,-1,40http://www.finance.gov.au/sites/default/files/P34_RUSTON_Anne.pdf19P34 RUSTON Anne,-85,,*,-33.1383348,136.4206548,,SA,Liberal,Coalition,senate,,
TRUSS Warren,http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf,28-Sep-13,28-Sep-13,Electorate Business,Noosaville,$357.00,0,19http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf26P34 TRUSS Warren,$104.00,,*,-26.4001414,153.0660163,Wide Bay,QLD,National,Coalition,lower,yes,
CHESTER Darren,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf,5-Oct-13,5-Oct-13,Electorate Business,Traralgon,$357.00,0,54http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf22P34 CHESTER Darren,$104.00,,,-38.1971087,146.534618,Gippsland,VIC,National,Coalition,lower,yes,
CHESTER Darren,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf,7-Oct-13,7-Oct-13,Electorate Business,Traralgon,$357.00,0,61http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf22P34 CHESTER Darren,$104.00,,,-38.1971087,146.534618,Gippsland,VIC,National,Coalition,lower,yes,
PARRY Stephen,http://www.finance.gov.au/sites/default/files/P34_PARRY_Stephen.pdf,7-Oct-13,7-Oct-13,Electorate Business,Burnie,$357.00,0,26http://www.finance.gov.au/sites/default/files/P34_PARRY_Stephen.pdf21P34 PARRY Stephen,$76.00,,*,-41.0524649,145.9068513,,TAS,Liberal,Coalition,senate,,
LINES Sue,http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf,10-Oct-13,10-Oct-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,18http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf21P34 LINES Sue,$268.00,,,-35.2819998,149.1286843,,WA,Labor,Labor,senate,,
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf,10-Oct-13,10-Oct-13,Electorate Business,Charleville,$357.00,0,47http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf26P34 SCOTT Bruce,$104.00,,*,-26.4013454,146.2396525,Maranoa,QLD,National,Coalition,lower,yes,
GILLESPIE David,http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf,11-Oct-13,11-Oct-13,Parliamentary Political Party Meeting,Sydney,$375.00,1,18http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf18P34 GILLESPIE David,$375.00,,,-33.8674869,151.2069902,Lyne,NSW,National,Coalition,lower,no,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,11-Oct-13,11-Oct-13,Electorate Business,Balranald,$357.00,0,40http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf27P34 LEY Sussan,$104.00,,,-34.6394729,143.5629803,Farrer,NSW,Liberal,Coalition,lower,yes,
LINES Sue,http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf,11-Oct-13,11-Oct-13,Electorate Business,Canberra,$268.00,1,25http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf21P34 LINES Sue,$268.00,,,-35.2819998,149.1286843,,WA,Labor,Labor,senate,,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,12-Oct-13,12-Oct-13,Electorate Business,Wentworth,$357.00,0,47http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf27P34 LEY Sussan,$104.00,,,-34.1064847,141.9221664,Farrer,NSW,Liberal,Coalition,lower,yes,
LINES Sue,http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf,12-Oct-13,12-Oct-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,32http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf21P34 LINES Sue,$268.00,,,-35.2819998,149.1286843,,WA,Labor,Labor,senate,,
LINES Sue,http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf,13-Oct-13,13-Oct-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,39http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf21P34 LINES Sue,$268.00,,,-35.2819998,149.1286843,,WA,Labor,Labor,senate,,
PRICE Melissa,http://www.finance.gov.au/sites/default/files/P34_PRICE_Melissa.pdf,13-Oct-13,13-Oct-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,18http://www.finance.gov.au/sites/default/files/P34_PRICE_Melissa.pdf24P34 PRICE Melissa,$268.00,,,-35.2819998,149.1286843,Durack,WA,Liberal,Coalition,lower,no,
GILLESPIE David,http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf,14-Oct-13,15-Oct-13,Official Government or Vice-Regal Function,Canberra,$268.00,2,25http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf18P34 GILLESPIE David,$536.00,,,-35.2819998,149.1286843,Lyne,NSW,National,Coalition,lower,no,
LINES Sue,http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf,14-Oct-13,14-Oct-13,Electorate Business,Canberra,$268.00,1,46http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf21P34 LINES Sue,$268.00,,,-35.2819998,149.1286843,,WA,Labor,Labor,senate,,
WICKS Lucy,http://www.finance.gov.au/sites/default/files/P34_WICKS_Lucy.pdf,14-Oct-13,15-Oct-13,Official Government or Vice-Regal Function,Canberra,$268.00,2,18http://www.finance.gov.au/sites/default/files/P34_WICKS_Lucy.pdf16P34 WICKS Lucy,$536.00,,,-35.2819998,149.1286843,Robertson,NSW,Liberal,Coalition,lower,no,
COLEMAN David,http://www.finance.gov.au/sites/default/files/P34_COLEMAN_David.pdf,15-Oct-13,15-Oct-13,Official Government or Vice-Regal Function,Canberra,$268.00,1,25http://www.finance.gov.au/sites/default/files/P34_COLEMAN_David.pdf14P34 COLEMAN David,$268.00,,,-35.2819998,149.1286843,Banks,NSW,Liberal,Coalition,lower,no,
GILLESPIE David,http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf,16-Oct-13,16-Oct-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,32http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf18P34 GILLESPIE David,$268.00,,,-35.2819998,149.1286843,Lyne,NSW,National,Coalition,lower,no,
GILLESPIE David,http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf,17-Oct-13,17-Oct-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,39http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf18P34 GILLESPIE David,$268.00,,,-35.2819998,149.1286843,Lyne,NSW,National,Coalition,lower,no,
COLBECK Richard,http://www.finance.gov.au/sites/default/files/P34_COLBECK_Richard.pdf,19-Oct-13,19-Oct-13,Electorate Business,Hobart,$362.00,0,19http://www.finance.gov.au/sites/default/files/P34_COLBECK_Richard.pdf21P34 COLBECK Richard,$40.00,,*,-42.8819032,147.3238148,,TAS,Liberal,Coalition,senate,,
BURKE Tony,http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf,20-Oct-13,20-Oct-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,11http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf18P34 BURKE Tony,$268.00,,,-35.2819998,149.1286843,Watson,NSW,Labor,Labor,lower,no,
CHESTER Darren,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf,23-Oct-13,23-Oct-13,Electorate Business,Sale,$357.00,0,68http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf22P34 CHESTER Darren,$104.00,,,-38.1077151,147.0640833,Gippsland,VIC,National,Coalition,lower,yes,
JOYCE Barnaby,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby1.pdf,24-Oct-13,24-Oct-13,Minister - Official Business,Sydney,$432.00,1,19http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby1.pdf31P34 JOYCE Barnaby1,$442.00,$10.00,,-33.8674869,151.2069902,New England,NSW,National,Coalition,lower,no,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,26-Oct-13,26-Oct-13,Electorate Business,Jerilderie,$357.00,0,54http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf27P34 LEY Sussan,$104.00,,,-35.3567745,145.7309442,Farrer,NSW,Liberal,Coalition,lower,yes,
RUSTON Anne,http://www.finance.gov.au/sites/default/files/P35_RUSTON_Anne.pdf,28-Oct-13,28-Oct-13,Electorate Business,Canberra,$268.00,1,18http://www.finance.gov.au/sites/default/files/P35_RUSTON_Anne.pdf20P35 RUSTON Anne,$268.00,,,-35.2819998,149.1286843,,SA,Liberal,Coalition,senate,,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,28-Oct-13,29-Oct-13,Electorate Business,Broken Hill,$357.00,0,61http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf27P34 LEY Sussan,$158.00,,,-31.9558583,141.4651361,Farrer,NSW,Liberal,Coalition,lower,yes,
HAYES Chris,http://www.finance.gov.au/sites/default/files/P34_HAYES_Chris.pdf,29-Oct-13,29-Oct-13,Chief Whip - Official Business,Canberra,$268.00,1,18http://www.finance.gov.au/sites/default/files/P34_HAYES_Chris.pdf16P34 HAYES Chris,$268.00,,,-35.2819998,149.1286843,Fowler,NSW,Labor,Labor,lower,no,
TRUSS Warren,http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf,29-Oct-13,29-Oct-13,Electorate Business,Noosaville,$357.00,0,26http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf26P34 TRUSS Warren,$104.00,,*,-26.4001414,153.0660163,Wide Bay,QLD,National,Coalition,lower,yes,
BOYCE Sue,http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf,30-Oct-13,30-Oct-13,Govt Advisory Committee or Taskforce,Canberra,$268.00,1,18http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf18P34 BOYCE Sue,$268.00,,,-35.2819998,149.1286843,,QLD,Liberal,Coalition,senate,,
CONROY Stephen,http://www.finance.gov.au/sites/default/files/P34_CONROY_Stephen.pdf,31-Oct-13,31-Oct-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,11http://www.finance.gov.au/sites/default/files/P34_CONROY_Stephen.pdf20P34 CONROY Stephen,$268.00,,,-35.2819998,149.1286843,,VIC,Labor,Labor,senate,,
CAMERON Doug,http://www.finance.gov.au/sites/default/files/P34_CAMERON_Doug.pdf,2-Nov-13,2-Nov-13,Electorate Business,Bathurst,$278.00,0,19http://www.finance.gov.au/sites/default/files/P34_CAMERON_Doug.pdf17P34 CAMERON Doug,79,,*,-33.4176529,149.5810314,,NSW,Labor,Labor,senate,,
TURNBULL Malcolm,http://www.finance.gov.au/sites/default/files/P34_TURNBULL_Malcolm.pdf,3-Nov-13,3-Nov-13,Minister - Official Business,Canberra,$268.00,1,18http://www.finance.gov.au/sites/default/files/P34_TURNBULL_Malcolm.pdf22P34 TURNBULL Malcolm,$268.00,,,-35.2819998,149.1286843,Wentworth,NSW,Liberal,Coalition,lower,no,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,4-Nov-13,4-Nov-13,Electorate Business,Ivanhoe,$119.00,0,68http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf27P34 LEY Sussan,$34.00,,,-37.768791,145.042313,Farrer,NSW,Liberal,Coalition,lower,no,
SCULLION Nigel,http://www.finance.gov.au/sites/default/files/P34_SCULLION_Nigel.pdf,6-Nov-13,6-Nov-13,Minister - Official Business,Camooweal,$119.00,1,18http://www.finance.gov.au/sites/default/files/P34_SCULLION_Nigel.pdf26P34 SCULLION Nigel,$119.00,,,-19.9213874,138.1179982,,NT,CLP,CLP,senate,,
GAMBARO Teresa,http://www.finance.gov.au/sites/default/files/P34_GAMBARO_Teresa.pdf,7-Nov-13,7-Nov-13,Chair Parl Committee on Committee ,Canberra,$268.00,1,18http://www.finance.gov.au/sites/default/files/P34_GAMBARO_Teresa.pdf17P34 GAMBARO Teresa,$268.00,,,-35.2819998,149.1286843,Brisbane,QLD,Liberal,Coalition,lower,no,
SCULLION Nigel,http://www.finance.gov.au/sites/default/files/P34_SCULLION_Nigel.pdf,7-Nov-13,7-Nov-13,Minister - Official Business,Cloncurry,$357.00,1,25http://www.finance.gov.au/sites/default/files/P34_SCULLION_Nigel.pdf26P34 SCULLION Nigel,$357.00,,,-20.7043534,140.505613,,NT,CLP,CLP,senate,,
SCULLION Nigel,http://www.finance.gov.au/sites/default/files/P34_SCULLION_Nigel.pdf,8-Nov-13,14-Nov-13,Minister - Official Business,Canberra,$268.00,7,32http://www.finance.gov.au/sites/default/files/P34_SCULLION_Nigel.pdf26P34 SCULLION Nigel,"$1,876.00",,,-35.2819998,149.1286843,,NT,CLP,CLP,senate,,
TRUSS Warren,http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf,9-Nov-13,9-Nov-13,Electorate Business,Murgon,$357.00,1,33http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf26P34 TRUSS Warren,$357.00,,,-26.2421343,151.9413272,Wide Bay,QLD,National,Coalition,lower,yes,
PORTER Christian,http://www.finance.gov.au/sites/default/files/P35_PORTER_Christian.pdf,10-Nov-13,10-Nov-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,18http://www.finance.gov.au/sites/default/files/P35_PORTER_Christian.pdf17P35 PORTER Christian,$268.00,,,-35.2819998,149.1286843,Pearce,WA,Liberal,Coalition,lower,no,
BOYCE Sue,http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf,10-Nov-13,10-Nov-13,Parliamentary Political Party Meeting,Canberra,$268.00,1,25http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf18P34 BOYCE Sue,$268.00,,,-35.2819998,149.1286843,,QLD,Liberal,Coalition,senate,,
GILLESPIE David,http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf,10-Nov-13,14-Nov-13,Sittings of Parliament,Canberra,$268.00,5,46http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf18P34 GILLESPIE David,"$1,340.00",,,-35.2819998,149.1286843,Lyne,NSW,National,Coalition,lower,no,
LINES Sue,http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf,10-Nov-13,15-Nov-13,Sittings of Parliament,Canberra,$268.00,6,53http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf21P34 LINES Sue,"$1,608.00",,,-35.2819998,149.1286843,,WA,Labor,Labor,senate,,
PLIBERSEK Tanya,http://www.finance.gov.au/sites/default/files/P34_PLIBERSEK_Tanya.pdf,10-Nov-13,13-Nov-13,Sittings of Parliament,Canberra,$268.00,4,18http://www.finance.gov.au/sites/default/files/P34_PLIBERSEK_Tanya.pdf25P34 PLIBERSEK Tanya,"$1,072.00",,,-35.2819998,149.1286843,Sydney,NSW,Labor,Labor,lower,no,
RUDDOCK Philip,http://www.finance.gov.au/sites/default/files/P34_RUDDOCK_Philip.pdf,10-Nov-13,14-Nov-13,Sittings of Parliament,Canberra,$268.00,5,18http://www.finance.gov.au/sites/default/files/P34_RUDDOCK_Philip.pdf22P34 RUDDOCK Philip,"$1,340.00",,,-35.2819998,149.1286843,Berowra,NSW,Liberal,Coalition,lower,no,
