politician,url,datefrom,dateto,details,location,rate,nights,key,amount,spouse,note,lat,lon,electorate,state,party,partygroup,house,withinelectorate,
SWAN Wayne,http://www.finance.gov.au/sites/default/files/P35_SWAN_Wayne.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,90http://www.finance.gov.au/sites/default/files/P35_SWAN_Wayne.pdf5P35 SWAN Wayne,"$1,084.00",,,-35.2819998,149.1286843,Lilley,QLD,Labor,Labor,lower,no,
WATERS Larissa,http://www.finance.gov.au/sites/default/files/P35_WATERS_Larissa.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,174http://www.finance.gov.au/sites/default/files/P35_WATERS_Larissa.pdf5P35 WATERS Larissa,"$1,084.00",,,-35.2819998,149.1286843,,QLD,Greens,Greens,senate,,
PASIN Tony,http://www.finance.gov.au/sites/default/files/P35_PASIN_Tony.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,139http://www.finance.gov.au/sites/default/files/P35_PASIN_Tony.pdf5P35 PASIN Tony,"$1,084.00",,,-35.2819998,149.1286843,Barker,SA,Liberal,Coalition,lower,no,
RUSTON Anne,http://www.finance.gov.au/sites/default/files/P35_RUSTON_Anne.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,26http://www.finance.gov.au/sites/default/files/P35_RUSTON_Anne.pdf6P35 RUSTON Anne,"$1,084.00",,,-35.2819998,149.1286843,,SA,Liberal,Coalition,senate,,
WONG Penny,http://www.finance.gov.au/sites/default/files/P35_WONG_Penny.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,230http://www.finance.gov.au/sites/default/files/P35_WONG_Penny.pdf5P35 WONG Penny,"$1,084.00",,,-35.2819998,149.1286843,,SA,Labor,Labor,senate,,
XENOPHON Nick,http://www.finance.gov.au/sites/default/files/P35_XENOPHON_Nick.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,160http://www.finance.gov.au/sites/default/files/P35_XENOPHON_Nick.pdf5P35 XENOPHON Nick,"$1,084.00",,,-35.2819998,149.1286843,,SA,Independent,Independent,senate,,
BANDT Adam,http://www.finance.gov.au/sites/default/files/P35_BANDT_Adam.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,90http://www.finance.gov.au/sites/default/files/P35_BANDT_Adam.pdf5P35 BANDT Adam,"$1,084.00",,,-35.2819998,149.1286843,Melbourne,VIC,Greens,Greens,lower,no,
BROAD Andrew,http://www.finance.gov.au/sites/default/files/P35_BROAD_Andrew.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,244http://www.finance.gov.au/sites/default/files/P35_BROAD_Andrew.pdf5P35 BROAD Andrew,"$1,084.00",,,-35.2819998,149.1286843,Mallee,VIC,National,Coalition,lower,no,
BROADBENT Russell,http://www.finance.gov.au/sites/default/files/P35_BROADBENT_Russell.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,83http://www.finance.gov.au/sites/default/files/P35_BROADBENT_Russell.pdf5P35 BROADBENT Russell,"$1,084.00",,,-35.2819998,149.1286843,McMillan,VIC,Liberal,Coalition,lower,no,
CONROY Stephen,http://www.finance.gov.au/sites/default/files/P35_CONROY_Stephen.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,182http://www.finance.gov.au/sites/default/files/P35_CONROY_Stephen.pdf5P35 CONROY Stephen,"$1,084.00",,,-35.2819998,149.1286843,,VIC,Labor,Labor,senate,,
DI NATALE Richard,http://www.finance.gov.au/sites/default/files/P35_DI_NATALE_Richard.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,132http://www.finance.gov.au/sites/default/files/P35_DI_NATALE_Richard.pdf5P35 DI NATALE Richard,"$1,084.00",,,-35.2819998,149.1286843,,VIC,Greens,Greens,senate,,
FEENEY David,http://www.finance.gov.au/sites/default/files/P35_FEENEY_David.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,216http://www.finance.gov.au/sites/default/files/P35_FEENEY_David.pdf5P35 FEENEY David,"$1,084.00",,,-35.2819998,149.1286843,Batman,VIC,Labor,Labor,lower,no,
FRYDENBERG Josh,http://www.finance.gov.au/sites/default/files/P35_FRYDENBERG_Josh.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,76http://www.finance.gov.au/sites/default/files/P35_FRYDENBERG_Josh.pdf5P35 FRYDENBERG Josh,"$1,084.00",,,-35.2819998,149.1286843,Kooyong,VIC,Liberal,Coalition,lower,no,
MACKLIN Jenny,http://www.finance.gov.au/sites/default/files/P35_MACKLIN_Jenny.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,111http://www.finance.gov.au/sites/default/files/P35_MACKLIN_Jenny.pdf5P35 MACKLIN Jenny,"$1,084.00",,,-35.2819998,149.1286843,Jagajaga,VIC,Labor,Labor,lower,no,
MCGOWAN Cathy,http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,132http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf5P35 MCGOWAN Cathy,"$1,084.00",,,-35.2819998,149.1286843,Indi,VIC,Independent,Independent,lower,no,
ROBB Andrew,http://www.finance.gov.au/sites/default/files/P35_ROBB_Andrew.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,160http://www.finance.gov.au/sites/default/files/P35_ROBB_Andrew.pdf5P35 ROBB Andrew,"$1,084.00",,,-35.2819998,149.1286843,Goldstein,VIC,Liberal,Coalition,lower,no,
RYAN Scott,http://www.finance.gov.au/sites/default/files/P35_RYAN_Scott.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,147http://www.finance.gov.au/sites/default/files/P35_RYAN_Scott.pdf5P35 RYAN Scott,"$1,084.00",,,-35.2819998,149.1286843,,VIC,Liberal,Coalition,senate,,
SHORTEN Bill,http://www.finance.gov.au/sites/default/files/P35_SHORTEN_Bill.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,180http://www.finance.gov.au/sites/default/files/P35_SHORTEN_Bill.pdf5P35 SHORTEN Bill,"$1,084.00",,,-35.2819998,149.1286843,Maribyrnong,VIC,Labor,Labor,lower,no,
BISHOP Julie,http://www.finance.gov.au/sites/default/files/P35_BISHOP_Julie.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,230http://www.finance.gov.au/sites/default/files/P35_BISHOP_Julie.pdf5P35 BISHOP Julie,"$1,084.00",,,-35.2819998,149.1286843,Curtin,WA,Liberal,Coalition,lower,no,
JENSEN Dennis,http://www.finance.gov.au/sites/default/files/P35_JENSEN_Dennis.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,83http://www.finance.gov.au/sites/default/files/P35_JENSEN_Dennis.pdf5P35 JENSEN Dennis,"$1,084.00",,,-35.2819998,149.1286843,Tangney,WA,Liberal,Coalition,lower,no,
KEENAN Michael,http://www.finance.gov.au/sites/default/files/P35_KEENAN_Michael.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,218http://www.finance.gov.au/sites/default/files/P35_KEENAN_Michael.pdf5P35 KEENAN Michael,"$1,084.00",,,-35.2819998,149.1286843,Stirling,WA,Liberal,Coalition,lower,no,
PRICE Melissa,http://www.finance.gov.au/sites/default/files/P35_PRICE_Melissa.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,251http://www.finance.gov.au/sites/default/files/P35_PRICE_Melissa.pdf5P35 PRICE Melissa,"$1,084.00",,,-35.2819998,149.1286843,Durack,WA,Liberal,Coalition,lower,no,
SMITH Dean,http://www.finance.gov.au/sites/default/files/P35_SMITH_Dean.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,202http://www.finance.gov.au/sites/default/files/P35_SMITH_Dean.pdf5P35 SMITH Dean,"$1,084.00",,,-35.2819998,149.1286843,,WA,Liberal,Coalition,senate,,
WILSON Rick,http://www.finance.gov.au/sites/default/files/P35_WILSON_Rick.pdf,23-Nov-14,26-Nov-14,Sittings of Parliament,Canberra,$271.00,4,25http://www.finance.gov.au/sites/default/files/P35_WILSON_Rick.pdf6P35 WILSON Rick,"$1,084.00",,,-35.2819998,149.1286843,O'Connor,WA,Liberal,Coalition,lower,no,
BISHOP Bronwyn,http://www.finance.gov.au/sites/default/files/P35_BISHOP_Bronwyn.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,245http://www.finance.gov.au/sites/default/files/P35_BISHOP_Bronwyn.pdf5P35 BISHOP Bronwyn,"$1,355.00",,,-35.2819998,149.1286843,Mackellar,NSW,Liberal,Coalition,lower,no,
CONROY Pat,http://www.finance.gov.au/sites/default/files/P35_CONROY_Pat.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,90http://www.finance.gov.au/sites/default/files/P35_CONROY_Pat.pdf5P35 CONROY Pat,"$1,355.00",,,-35.2819998,149.1286843,Charlton,NSW,Labor,Labor,lower,no,
FAULKNER John,http://www.finance.gov.au/sites/default/files/P35_FAULKNER_John.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,111http://www.finance.gov.au/sites/default/files/P35_FAULKNER_John.pdf5P35 FAULKNER John,"$1,355.00",,,-35.2819998,149.1286843,,NSW,Labor,Labor,senate,,
FIERRAVANTI-WELLS Concetta,http://www.finance.gov.au/sites/default/files/P35_FIERRAVANTI-WELLS_Concetta.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,132http://www.finance.gov.au/sites/default/files/P35_FIERRAVANTI-WELLS_Concetta.pdf5P35 FIERRAVANTI-WELLS Concetta,"$1,355.00",,,-35.2819998,149.1286843,,NSW,Liberal,Coalition,senate,,
HARTSUYKER Luke,http://www.finance.gov.au/sites/default/files/P35_HARTSUYKER_Luke.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,160http://www.finance.gov.au/sites/default/files/P35_HARTSUYKER_Luke.pdf5P35 HARTSUYKER Luke,"$1,355.00",,,-35.2819998,149.1286843,Cowper,NSW,National,Coalition,lower,no,
HEFFERNAN Bill,http://www.finance.gov.au/sites/default/files/P35_HEFFERNAN_Bill.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,161http://www.finance.gov.au/sites/default/files/P35_HEFFERNAN_Bill.pdf5P35 HEFFERNAN Bill,"$1,355.00",,,-35.2819998,149.1286843,,NSW,Liberal,Coalition,senate,,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P35_LEY_Sussan.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,32http://www.finance.gov.au/sites/default/files/P35_LEY_Sussan.pdf6P35 LEY Sussan,"$1,355.00",,,-35.2819998,149.1286843,Farrer,NSW,Liberal,Coalition,lower,no,
WILLIAMS John,http://www.finance.gov.au/sites/default/files/P35_WILLIAMS_John.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,195http://www.finance.gov.au/sites/default/files/P35_WILLIAMS_John.pdf5P35 WILLIAMS John,"$1,355.00",,,-35.2819998,149.1286843,,NSW,National,Coalition,senate,,
PERIS Nova,http://www.finance.gov.au/sites/default/files/P35_PERIS_Nova.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,170http://www.finance.gov.au/sites/default/files/P35_PERIS_Nova.pdf5P35 PERIS Nova,"$1,355.00",,,-35.2819998,149.1286843,,NT,Labor,Labor,senate,,
SCULLION Nigel,http://www.finance.gov.au/sites/default/files/P35_SCULLION_Nigel.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,109http://www.finance.gov.au/sites/default/files/P35_SCULLION_Nigel.pdf6P35 SCULLION Nigel,"$1,355.00",,,-35.2819998,149.1286843,,NT,CLP,CLP,senate,,
CANAVAN Matthew,http://www.finance.gov.au/sites/default/files/P35_CANAVAN_Matthew.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,237http://www.finance.gov.au/sites/default/files/P35_CANAVAN_Matthew.pdf5P35 CANAVAN Matthew,"$1,355.00",,,-35.2819998,149.1286843,,QLD,National,Coalition,senate,,
DUTTON Peter,http://www.finance.gov.au/sites/default/files/P35_DUTTON_Peter.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,237http://www.finance.gov.au/sites/default/files/P35_DUTTON_Peter.pdf5P35 DUTTON Peter,"$1,355.00",,,-35.2819998,149.1286843,Dickson,QLD,Liberal,Coalition,lower,no,
ENTSCH Warren,http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,130http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf5P35 ENTSCH Warren,"$1,355.00",,,-35.2819998,149.1286843,Leichhardt,QLD,Liberal,Coalition,lower,no,
MACFARLANE Ian,http://www.finance.gov.au/sites/default/files/P35_MACFARLANE_Ian.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,53http://www.finance.gov.au/sites/default/files/P35_MACFARLANE_Ian.pdf6P35 MACFARLANE Ian,"$1,355.00",,,-35.2819998,149.1286843,Groom,QLD,Liberal,Coalition,lower,no,
MCGRATH James,http://www.finance.gov.au/sites/default/files/P35_MCGRATH_James.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,18http://www.finance.gov.au/sites/default/files/P35_MCGRATH_James.pdf6P35 MCGRATH James,"$1,355.00",,,-35.2819998,149.1286843,,QLD,Liberal,Coalition,senate,,
MCLUCAS Jan,http://www.finance.gov.au/sites/default/files/P35_MCLUCAS_Jan.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,237http://www.finance.gov.au/sites/default/files/P35_MCLUCAS_Jan.pdf5P35 MCLUCAS Jan,"$1,355.00",,,-35.2819998,149.1286843,,QLD,Labor,Labor,senate,,
MOORE Claire,http://www.finance.gov.au/sites/default/files/P35_MOORE_Claire.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,244http://www.finance.gov.au/sites/default/files/P35_MOORE_Claire.pdf5P35 MOORE Claire,"$1,355.00",,,-35.2819998,149.1286843,,QLD,Labor,Labor,senate,,
