location-to,date,partygroup,count
Melbourne,02/02/2014,Labor,2
Melbourne,02/02/2014,Coalition,4
Adelaide,03/02/2014,Labor,2
Brisbane,03/02/2014,Coalition,5
Hobart,03/02/2014,Labor,2
Melbourne,03/02/2014,Labor,2
Melbourne,03/02/2014,Coalition,4
Sydney,03/02/2014,Coalition,7
Adelaide,04/02/2014,Coalition,3
Brisbane,04/02/2014,Labor,2
Brisbane,04/02/2014,Coalition,4
Melbourne,04/02/2014,Coalition,14
Melbourne,04/02/2014,Labor,21
Sydney,04/02/2014,AUS,2
Sydney,04/02/2014,Coalition,9
Adelaide,05/02/2014,Coalition,2
Adelaide,05/02/2014,Labor,5
Brisbane,05/02/2014,Labor,4
Brisbane,05/02/2014,Coalition,6
Bundaberg,05/02/2014,Coalition,2
Hobart,05/02/2014,Labor,3
Melbourne,05/02/2014,Greens,2
Melbourne,05/02/2014,Coalition,11
Melbourne,05/02/2014,Labor,14
Perth,05/02/2014,Coalition,4
Sydney,05/02/2014,Coalition,9
Sydney,05/02/2014,Labor,14
Brisbane,06/02/2014,Labor,2
Brisbane,06/02/2014,Coalition,15
Bundaberg,06/02/2014,Coalition,12
Cairns,06/02/2014,Labor,2
Gove,06/02/2014,Labor,2
Hobart,06/02/2014,Coalition,2
Karratha,06/02/2014,Coalition,4
Melbourne,06/02/2014,Coalition,3
Melbourne,06/02/2014,Labor,3
Sydney,06/02/2014,Labor,8
Sydney,06/02/2014,Coalition,13
Adelaide,07/02/2014,Coalition,5
Brisbane,07/02/2014,Labor,3
Brisbane,07/02/2014,Coalition,13
Melbourne,07/02/2014,Coalition,8
Melbourne,07/02/2014,Labor,8
Perth,07/02/2014,Coalition,5
Sydney,07/02/2014,Labor,5
Sydney,07/02/2014,Coalition,17
Brisbane,08/02/2014,Coalition,3
Melbourne,08/02/2014,Coalition,2
Melbourne,08/02/2014,Labor,2
Perth,08/02/2014,Coalition,2
Sydney,08/02/2014,Coalition,3
Wagga Wagga,08/02/2014,Coalition,2
Brisbane,09/02/2014,CLP,3
Brisbane,09/02/2014,Labor,3
Brisbane,09/02/2014,Coalition,6
Lakes Entrance,09/02/2014,Coalition,2
Melbourne,09/02/2014,Labor,5
Melbourne,09/02/2014,Coalition,10
Sydney,09/02/2014,Labor,2
Brisbane,10/02/2014,Coalition,4
Melbourne,10/02/2014,Labor,6
Melbourne,10/02/2014,Coalition,8
Sydney,10/02/2014,Labor,4
Sydney,10/02/2014,Coalition,12
Adelaide,11/02/2014,Coalition,2
Melbourne,11/02/2014,Coalition,4
Melbourne,11/02/2014,Labor,5
Perth,11/02/2014,Labor,2
Sydney,11/02/2014,Coalition,7
Tamworth,11/02/2014,Coalition,2
Adelaide,12/02/2014,Coalition,2
Brisbane,12/02/2014,Coalition,2
Sydney,12/02/2014,Labor,2
Adelaide,13/02/2014,Coalition,3
Adelaide,13/02/2014,Labor,5
Brisbane,13/02/2014,Labor,5
Brisbane,13/02/2014,Coalition,14
Coolangatta,13/02/2014,Coalition,2
Hobart,13/02/2014,Coalition,2
Hobart,13/02/2014,Labor,3
