datefrom,partygroup,location,count
14/04/2014,Coalition,Melbourne,3
16/10/2014,Coalition,Melbourne,3
16/10/2014,Labor,Melbourne,3
17/12/2013,Coalition,Melbourne,3
17/02/2014,Coalition,Melbourne,3
18/11/2014,Labor,Melbourne,3
19/08/2014,Labor,Melbourne,3
19/07/2014,Coalition,Melbourne,3
19/06/2014,Coalition,Melbourne,3
19/06/2014,Labor,Melbourne,3
19/05/2014,Labor,Melbourne,3
19/10/2014,Coalition,Melbourne,3
02/04/2014,Coalition,Melbourne,3
02/07/2014,Labor,Melbourne,3
20/07/2014,Coalition,Melbourne,3
20/03/2014,Coalition,Melbourne,3
27/03/2014,Coalition,Melbourne,3
29/04/2014,Coalition,Melbourne,3
29/05/2014,Labor,Melbourne,3
30/10/2014,Coalition,Melbourne,3
05/02/2014,Coalition,Melbourne,3
07/04/2014,Coalition,Melbourne,3
08/12/2014,Coalition,Melbourne,3
08/10/2014,Labor,Melbourne,3
09/12/2014,Coalition,Melbourne,3
09/07/2014,Coalition,Melbourne,3
09/09/2014,Coalition,Melbourne,3
11/11/2014,Coalition,Melbourne,4
12/03/2014,Coalition,Melbourne,4
12/10/2014,Coalition,Melbourne,4
12/10/2014,Labor,Melbourne,4
13/03/2014,Coalition,Melbourne,4
16/02/2014,Coalition,Melbourne,4
20/05/2014,Coalition,Melbourne,4
24/07/2014,Coalition,Melbourne,4
26/09/2014,Coalition,Melbourne,4
29/05/2014,Coalition,Melbourne,4
03/07/2014,Coalition,Melbourne,4
30/07/2014,Coalition,Melbourne,4
31/03/2014,Coalition,Melbourne,4
04/08/2014,Coalition,Melbourne,4
05/02/2014,Labor,Melbourne,4
06/03/2014,Labor,Melbourne,4
11/09/2014,Coalition,Melbourne,5
13/11/2014,Coalition,Melbourne,5
14/08/2014,Coalition,Melbourne,5
18/11/2014,Coalition,Melbourne,5
19/08/2014,Coalition,Melbourne,5
25/09/2014,Coalition,Melbourne,5
26/06/2014,Coalition,Melbourne,5
06/08/2014,Coalition,Melbourne,5
06/10/2014,Coalition,Melbourne,5
10/09/2014,Coalition,Melbourne,6
14/10/2014,Coalition,Melbourne,6
02/07/2014,Coalition,Melbourne,6
05/06/2014,Coalition,Melbourne,6
07/08/2014,Coalition,Melbourne,6
01/05/2014,Coalition,Melbourne,7
15/05/2014,Coalition,Melbourne,7
20/08/2014,Coalition,Melbourne,7
03/04/2014,Coalition,Melbourne,7
04/02/2014,Coalition,Melbourne,7
13/08/2014,Coalition,Melbourne,8
08/10/2014,Coalition,Melbourne,8
18/08/2014,Coalition,Melbourne,10
02/11/2014,Coalition,Melbourne,11
04/02/2014,Labor,Melbourne,17
27/06/2014,Coalition,Melbourne,30
06/05/2014,Labor,Melville,2
09/09/2014,Coalition,Merredin,2
02/08/2014,Coalition,Middlemount,2
16/01/2014,Coalition,Mildura,2
09/08/2014,Coalition,Moree,3
06/05/2014,Coalition,Mount Isa,4
06/05/2014,Labor,Mount Isa,4
15/08/2014,Coalition,Mudgee,4
07/06/2014,Coalition,Muttaburra,2
11/08/2014,Labor,Newcastle,2
08/04/2014,Coalition,Newcastle,2
09/09/2014,Coalition,Newcastle,2
28/04/2014,Labor,Norfolk Island,2
28/04/2014,Coalition,Norfolk Island,3
11/02/2014,Coalition,Parl House,2
11/02/2014,Labor,Parl House,2
17/03/2014,Coalition,Parl House,2
24/02/2014,Coalition,Parl House,2
24/02/2014,Labor,Parl House,2
24/03/2014,Coalition,Parl House,2
24/03/2014,Labor,Parl House,2
03/03/2014,Coalition,Parl House,2
10/03/2014,Labor,Perth,2
11/03/2014,Labor,Perth,2
12/10/2014,Coalition,Perth,2
13/08/2014,Labor,Perth,2
14/09/2014,Coalition,Perth,2
15/09/2014,Labor,Perth,2
17/09/2014,Labor,Perth,2
21/03/2014,Coalition,Perth,2
24/01/2014,Coalition,Perth,2
24/07/2014,Coalition,Perth,2
25/03/2014,Labor,Perth,2
28/04/2014,Labor,Perth,2
28/08/2014,Coalition,Perth,2
29/03/2014,Coalition,Perth,2
03/04/2014,Labor,Perth,2
30/04/2014,Labor,Perth,2
04/04/2014,Coalition,Perth,2
04/09/2014,Coalition,Perth,2
05/06/2014,Coalition,Perth,2
05/05/2014,Labor,Perth,2
05/10/2014,Coalition,Perth,2
07/04/2014,Coalition,Perth,2
08/04/2014,Labor,Perth,2
09/03/2014,Labor,Perth,2
09/10/2014,Labor,Perth,2
10/03/2014,Coalition,Perth,3
19/06/2014,Coalition,Perth,3
02/02/2014,Coalition,Perth,3
